"Taxonomic group","Lineage","Stem age (Mya)","Crown age (Mya)","Stem-Clade age (Mya)","No. of species","Endemic.species","Speciation rate (RPANDA)","Extinction rate (RPANDA)","Net diversification rate (RPANDA)","Speciation rate (CoMET)","Extinction rate (CoMET)","Net-diversification rate (CoMET)","Speciation rate (ClaDS)","Extinction rate (ClaDS)","Net-diversification rate (ClaDS)","Biogeographic origin","Habitat","Habitat differentiation among clades?","Gamma statistic","p-value","Gamma.results","Speciation rate shift times (TESS)","Results without shifts","Final
Results","Num_Rate_Shifts","Up_Peak_or_Down_Dip_Time","Peak_or_Dip_Time","Down_Peak_or_Up_Dip_Time","Driver","DDD","TDD","Him.oro","C4-Exp","Other","Best no. of age grids (PDR)","Results (PDR)","CRABS"
"Plant","Memecylon",28.18,22.127469,6.052531,38,32,"0.123721455442512",3.86E-08,"0.12371415211991","0.1301849783","0.00596987269","0.12421510561","0.206360051029774","0.0138419716100882","0.192518079419686","Asian","Wet","No structure",-5.32679662295987,1.34667467088437E-09,"SC2","3.9829446,3.7616699","SC 3","SC3+Shift",1,3.9829446,,,"TDD","No DDD","TDD","No Him.oro","No C4-Exp","No Other","4","Not SC1","rate shift in recent time; ambigous in past"
"Amphibian","Microhyla1",22,18.818149,3.181851,5,5,"0.045102498205581",3.61E-08,"0.0450913524776067","0.06253282675","0.005346771265","0.057186055485","0.0698050298742977","0.00359766627367045","0.0662073636006273","Asian","Wet + Dry","No structure",-1.03420074859105,0.370155663660096,"SC1",,"SC 1a","SC1",0,,,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","NA",,"rate shift in recent time; ambigous in past"
"Amphibian","Microhyla2",31.5,19.016731,12.483269,6,6,"0.0607516571639842",7.34E-09,"0.0607731278757213","0.08252384685","0.00854787718","0.07397596967","0.0569468609435666","0.00293497189782747","0.0540118890457392","Asian","Wet + Dry","No structure",-0.671269914570926,0.554418685215983,"SC1",,"peak_7","Shift",0,,7,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","NA",,"rate shift in recent time; ambigous in past"
"Bird","Montecincla",11.57,4.7,6.87,4,4,"0.355369875224821",0.59944658186203,"-0.243977676768309","0.26189936","0.02623753145","0.23566182855","0.253338045518694","0.018093536650476","0.235244508868218","Asian","Wet","No structure",0.612372435695795,0.468361238162137,"SC1",,"SC 1a","SC1",0,,,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","NA",,"ambiguous throughout"
"Amphibian","Nyctibatrachidae",75.7516,41.256085,34.495515,58,58,"0.0912588110129208",7.18E-08,"0.091265225165675","0.1032900974","0.0063880319","0.0969020655","0.103494601571405","0.00603431699292308","0.0974602845784816","Gondwanan","Wet","No structure",-1.75277951246423,0.063599741929795,"SC1","2.0628043,1.65024344","SC 3","SC3+Shift",1,2.0628043,,,"TDD","No DDD","TDD","No Him.oro","No C4-Exp","No Other","4","Not SC1","rate shift in recent time; constant in past"
"Reptile","Ophisops",49,30,19,36,33,"0.249417899512726",0.178497171065611,"0.070934326799038","0.2326640587","0.1826806835","0.0499833752","0.150937744773608","0.0140502859344361","0.136887458839172","Asian","Wet + Dry","No structure",1.42315970388848,0.058007233723589,"SC1","6.9,6.6,6,5.7,1.2,0.9","peak_2.5","SC3+Shift",2,6.9,2.5,0.9,"TDD","No DDD","TDD","No Him.oro","No C4-Exp","No Other","4","Not SC1","rate shifts (peak) in recent time; constant in past"
"Mollusc","Parreysia",95.6,48.5488491161184,47.0511508838816,5,5,"0.0485268404698788",0.073890467814962,"-0.0253610299219459","0.0318554212","0.00391626037","0.02793916083","0.0289060928598377","0.00196473371637284","0.0269413591434649","Gondwanan","FW","No structure",0.703416093813972,0.364205864387553,"SC1",,"SC 1a","SC1",0,,,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","NA",,"majorly constant throughout"
"Plant","Piper_group_1",15.52,10.42891280494,5.09108719506,6,6,"0.148128898887991",0.091504013384926,"0.0565397421821223","0.15831346","0.0177704528","0.1405430072","0.0738549162615727","0.00315482205288052","0.0707000942086922","Asian","Wet","No structure",0.174094427592804,0.70618460575769,"SC1",,"SC 1a","SC1",0,,,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","NA",,"ambiguous throughout"
"Plant","Piper_group_2",27.32,25.1819390109656,2.1380609890344,10,9,"0.0596420206921132",9.69E-08,"0.0596442359804465","0.0750588324","0.007219944865","0.067838887535","0.0626091217364211","0.00267444129604022","0.0599346804403809","Asian","Wet","No structure",-0.785975270191349,0.510009913602395,"SC1",,"SC 1a","SC1",0,,,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","1","SC1","ambiguous throughout"
"Amphibian","Pseudophilautus",31,25.3,5.7,24,24,"0.0668252832469615",2.03E-08,"0.0668663874737634","0.0821035708","0.00466049732","0.07744307348","0.0795157599126781","0.00736628692713657","0.0721494729855415","Asian","Wet","No structure",-2.83028118832966,0.001661188575458,"SC2",,"SC 2a","SC2",0,,,,"DDD+TDD","DDD","TDD","No Him.oro","No C4-Exp","No Other","1","SC1","decreasing trend in multiple time bins"
"Amphibian","Ranixalidae",75.7516,43.009832,32.741768,21,21,"0.0651554868027938",9.66E-08,"0.0651714502578347","0.0753758103","0.00833379619","0.06704201411","0.0730885163618966","0.006246474218639","0.0668420421432576","Gondwanan","Wet","No structure",-1.05505374146344,0.349403275499659,"SC1","4.3009832,3.87088488,3.44078656","SC 3","SC3+Shift",1,4.3009832,,,"TDD","No DDD","TDD","No Him.oro","No C4-Exp","No Other","2","Not SC1","rate shift in recent time; constant in past"
"Amphibian","Raorchestes",35,30,5,19,14,"0.0646846963612759",1.24E-07,"0.0646647147236876","0.07951610125","0.006975460475","0.072540640775","0.0775424545985212","0.00800160860344054","0.0695408459950806","Asian","Wet","No structure",-1.44855458007555,0.140066628075978,"SC1",,"SC 1a","SC1",1,,,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","1","SC1","majorly constant throughout"
"Arthropod","Rhysida_immarginata_complex",155,81.8265830581046,73.1734169418954,7,6,"0.0136023991022053",9.15E-09,"0.0135941206268435","0.01851199585","0.001513523525","0.016998472325","0.0108675227557485","0.000610222733691719","0.0102573000220568","Gondwanan","Wet","No structure",-1.23730024394552,0.263897350672146,"SC1",,"SC 1a","SC1",0,,,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","NA",,"constant throughout"
"Arthropod","Rhysida_longipes_complex",155,94.5016319130093,60.4983680869907,4,4,"0.00666340006426702",2.82E-09,"0.00666303701204617","0.010329552155","0.0007572426585","0.0095723094965","0.0114656900524479","0.00064381045107688","0.010821879601371","Gondwanan","Wet","No structure",-0.962899527482042,0.439517884596323,"SC1",,"SC 1a","SC1",0,,,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","NA",,"constant throughout"
"Reptile","Testudines",51,45.652964,5.347036,14,10,"0.0355375924043943",1.92E-08,"0.0355375427721316","0.0464770883","0.003363269275","0.043113819025","0.0363467761330933","0.00362659347110293","0.0327201826619904","Asian","FW","No structure",-1.87272882535475,0.060893775833464,"SC1","8.67406316,8.21753352","SC 1a","Shift",1,8.67406316,,,"TDD","No DDD","TDD","No Him.oro","No C4-Exp","No Other","1","SC1","rate shift in recent time; constant in past"
"Amphibian","Uperodon",40.8,36.5,4.3,6,6,"0.023670205935098",1.4E-08,"0.0236684473192106","0.03271876595","0.002765541195","0.029953224755","0.0204646141058102","0.00377936858487248","0.0166852455209377","Asian","Wet + Dry","No structure",-1.91652959180698,0.065327809263403,"SC1",,"SC 1a","SC1",0,,,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","NA",,"majorly constant throughout"
"Reptile","Uropeltids",56.017,45.29276,10.72424,44,44,"0.0650924842421433",7.12E-09,"0.0651073734544589","0.0768656629","0.0041723078","0.0726933551","0.0713621338018789","0.00638220030426033","0.0649799334976186","Asian","Wet","No structure",-1.56183936172927,0.094127890547346,"SC1",,"peak_13","Shift",0,,13,,,"No DDD","No TDD","No Him.oro","No C4-Exp","Other","1","SC1","majorly constant throughout"
